Chemistry,CYL100,Applied Chemistry,3,3-0-0,None,NA,Electrochemical Systems: Electrochemical cells and EMF; Applications of EMF measurements; Nernst Equation; Batteries; Fuel cell; corrosion and its control; Kinetics of Chemical Reactions and catalysis: Reversible; consecutive and parallel reactions; Steady state approximation; and Chain reactions. Physical adsorption; chemisorption; Freundlich’s expression; Langmuir adsorption isotherm; and heterogeneous catalysis; Bonding Models in inorganic Chemistry: Molecular orbital theory; Valencebond theory; LCAO; and Crystal field theory; Coordination Chemistry: Coordination numbers; Chelate effect; Coordination complexes and application; Bio-inorganic chemistry: Metal ions in Biological systems; environmental aspects of Metals; Organometallic chemistry; 18 electron rules; Industrially relevant chemical reactions and mechanism; Meallic-lithium; sodium and its compounds and their energy storage applications; Engineering materials and Polymer Chemistry: Glass; ceramics; refractory; composites; magnetic materials; Polymer; Properties; Polymer processing; Industrial polymers; conducting polymers; Natural Products and Biomolecules: Amino acids/nucleic acids/proteins/lipids; Enzymes; Vitamins; Biomacromolecules; and Solid phase synthesis; Fuels and Combustion: Properties of fuels; Calorific value; Petroleum and petrochemicals; biofuels.
Chemistry,CYL101,Environmental Studies,1,1-0-0,None,NA,Understanding our environment: atmosphere composition and behaviour; temperature and pressure profile of atmosphere; Atmospheric Photochemistry: Electromagnetic radiations; kinetics of thermal and photochemical processes; Reactions in the upper atmosphere; photo processes in the troposphere; photochemical smog; photosynthesis; Ozone chemistry; brief overviews of ozone depletion and atmospheric pollutants. Air pollution: Standards; effect of air pollutants; origin and fate of air pollutants; atmospheric dispersion. Global warming: greenhouse gases; results of global warming; Principle and applications; green chemical industrial process; sustainable fuel for automobiles and power generation. Water pollution: Chemistry in aqueous media; Chemical and physical reactions in the water environment; Major contaminant groups and their natural pathways for removal from lakes; rivers and oceans. Soil pollution: Groundwater and subsurface contamination; Soil profiles; Acid-base and ion exchange reactions in soils; Fertilizers; wastes and pollutants in soil. Organic and Inorganic chemicals in environment: Ecosystem; flow of energy and nutrient cycles; sustainability; toxicity; polychlorinated hydrocarbons like DDT; polymers; detergents. impact on environment.
Chemistry,CYP102,Chemistry Lab,1.5,0-0-3,None,NA,Indicative Experiments; Synthesis of drugs (Paracetamol and Aspirin); Analysis of Organic Compound; Estimation of Phenol; Estimation of Copper in Brassy Determination of Hardness of Water by EDTA titration; Synthesis of potash alum from scrap aluminium (recycling of aluminium waste); Reaction Kinetics (Ester hydrolysis); Red-ox titration; Acid Strength in Citrus Fruit juice by using pH meter and conductivity meter; Estimation of Cu in brass by colourimetric method.
Chemistry,CYL400,Chemical Kinetics and Surface Science,3,3-0-0,None,CYL100 - 10%,Introduction to chemical Kinetics; Chain reactions (free radical reaction; polymerization); Enzyme reaction; Inhibition kinetics; Temperature dependence of reaction rate: Linear and non-linear Arrhenius equation; Interpretation of Arrhenius parameters Various theories of unimolecular reactions; Potential energy surfaces for bimolecular reactions; Collision theory. Transition state theory; Activation/thermodynamic parameters; Erying equation; Kinetics in the excited state: Jablonski diagram; Kinetics of Unimolecular and bimolecular photophysical and photochemical processes; Quantum yield calculation; Excited state lifetime-quenching constant; Resonance energy transfer rates (RET); Rate and efficiency of RET; Dynamics of electron transfer; Solvent reorganization energy; Marcus theory of electron transfer; Importance of interfaces (solid-solid; solid-gas); adsorption isotherms; surface charge and zeta potentials; surface tension; Surface of nanostructured materials; Organic solid state materials; fullerenes; carbon nanotubes and graphene; Surface reactions; Introduction to surface characterization techniques (SEM; XPS; UPS; LEED).
Chemistry,CYL401,Coordination Chemistry,3,3-0-0,None,NA,Introduction to coordination chemistry: The central atom and the ligand; bonding; coordinate (dative) bond; historical background; coordination compounds in chemistry and beyond; basic nomenclature. Ligand types: Classification of ligands; denticity and hapticity; representative ligand families; Transition Metal Chemistry: Properties of transition metal ligand complexes - geometry; coordination number; isomerism; thermodynamic stability; chelate and macrocyclic effect; metal-metal bonds; clusters; Bonding in coordination compounds: Lewis acidity and basicity (donors and acceptors); Crystal Field Theory; Ligand Field Theory; Sigma and Pi Orbitals; limitations of bonding theories; d-orbital splitting; low spin and high spin complexes;Term Symbols; microstates; R-S coupling; Orgel and Tanabe Sugano Diagrams; CFSE for d0 to d10 systems; pairing energy; Applications of CFT and Spinels; Magnetic properties of complexes; J-T distortion; Spin Crossover; Selection rules of electronic transition: Laporte Forbidden Rule; Spin Selection Rule Charge Transfer Spectra (CT); different CT transitions; molecular orbital (MO) theory of small molecules; Reactivity of complexes: Substitution in Oh and Square Planner complexes; Thermodynamics and kinetics; stability and lability of complexes; trans-effect and trans-influence; conjugate base mechanism; racemization; oxidative addition and reductive elimination; steric and electronic factors; redox reactions; Electron transfer reaction: inner sphere and outer sphere mechanism; mechanism of redox reactions; Marcus theory; Photosubstitution and photo redox reactions of Cr; Co; and Ru compounds.
Chemistry,CYL500,Quantum Chemistry,3,3-0-0,None,NA,Why and how quantum mechanics came into existence; Difficulties with classical theory; Black-body radiation; photoelectric effect; Bohr’s theory of hydrogen atom; wave-particle duality; de Broglie’s idea; double-slit experiment; concept of matter-wave; group and phase velocity; Heisenberg Uncertainty principle; Postulates of quantum mechanics – meaning of wavefunction; operators; eigenvalue problems; Time- dependent and time-independent Schrödinger equation; Model problems – the particle-in-a-box; the harmonic oscillator; and molecular vibration and normal modes; Angular momentum; Hydrogen atom; concept of atomic orbitals; probabilities and electron- density distribution; Born-Oppenheimer approximation – limitations and applications; Molecular orbitals from valence bond and molecular orbital theory; Concept of LCAO and introduction to basis- set; Concepts in computational chemistry; Hartree-Fock Self-Consistent Field (SCF) theory and concept of electron correlation and variational principle; Electron spin and the Pauli principle; Relativity in chemistry – Brief introduction to relativistic quantum mechanics.
Chemistry,CYL501,Stereochemistry and Reaction Mechanism,3,3-0-0,None,NA,Stereochemistry: Introduction to molecular symmetry and point groups. Topicity and prostereoisomerism; nomenclature of stereotopic ligands and faces; stereoheterotopic ligands. Basic terminology: threo and erythro isomers; endo- and exo- compounds; atropisomerism. Centre of chirality; assignment of absolute stereochemistry; CIP rules. Axial chirality (biaryls; spiro compounds; adamentoids; allenes; hemispiranes/alkylidene cycloalkanes and catenanes); planar chirality (cyclophanes; metallocenes and transcycloalkene) and helicity; descriptors for absolute stereochemistry Conformational analysis: acyclic systems; cyclic systems; cyclohexane and decalins; conformation and reactivity with examples from molecular rearrangements; neighbouring group participation; elimination reactions; formation and cleavage of epoxides; quantitative correlation between conformation and reactivity. Stereoselectivity: Classification; terminology such as stereomutation; stereoablation; and stereodiscordance; principle of stereoselectivity; examples of diastereoselectivity and enantioselectivity. Stereoselectivity using chiral reagent; chiral catalysts; chiral auxiliary and chiral substrates. Kinetic resolution; parallel kinetic resolution; dynamic kinetic resolution. Circular dichroism; ORD; cotton effect; application of ORD and CD in steriods; examples illustrating the usefulness of Cotton effect. Reaction mechanisms: Nucleophilic substitution; various types; stability and reactivity of carbocations; nucleophilicity and basicity; neighbouring group participation and rearrangements; steric effects in substitution reactions; classical and non-classical carbocations. Umpolung chemistry with emphasis on thiamine; triazolium; cyanohydrins; metallophosphites and dithianes. Cyclization in organic chemistry; anionic and cationic cascades cyclization; radical induced cyclization; ring-closing metathesis; organocatalysts in cyclization. Rearrangements: neighboring group participation; ring expansion; carbocation; pinacol; dienonephenol; benzilic; Favorskii; Baeyer-Villiger and Beckmann rearrangements. 
Chemistry,CYP502,Organic and Inorganic Laboratory,3,0-0-6,None,NA,Inorganic Lab: Synthesis and characterization of coordination compounds (2 experiments); Study their magnetic moment. Synthesis and characterization of oraganometallic compounds (2 experiments). Catalytic reaction and techniques; Purification and separation techniques (1 experiment); Characterization through analytical techniques; Qualitative determination of compounds; molecules and elements; Quantitative estimation of compounds; molecules and elements. Organic Lab: Separation of an Unknown Mixture: Acid-Base Solvent Extraction. Nitration Reaction: Thin layer chromatography and column chromatography. Grignard Reaction: Preparation of a grignard reagent; synthesis of triphenylmethanol. Wittig Reaction: Synthesis of alkene from aldehyde. Synthesis of organic (bio)molecules via acid/amine coupling and other coupling strategies and their molecular characterization using different analytical tools; target oriented synthesis of (bio)macromolecules and their molecular characterization; investigation of the physicochemical properties of the synthesized (bio)(macro)molecules.
Chemistry,CYP503,Physical and Computational Chemistry Lab,3,0-0-6,None,NA,Study of charge transfer complexes using colorimetric method; Study of fluorescence quenching; Phase behaviour studies; Reaction kinetics study (spectroscopic and polarometric); Study of intermolecular hydrogen bonding; Nanomaterial synthesis and characterizations; Denaturation Studies of biomolecules; Programming; computing platforms; computer simulations; electronic and molecular structure calculations.
Chemistry,CYL504,Thermodynamics and Statistical Mechanics,3,3-0-0,None,MEL211 (15-20%); MML201 (15-20%),Why study statistical mechanics? Introduction to Thermodynamics; Equilibrium Thermodynamics: Thermodynamic Equilibrium state; properties of ideal gases and how they differ from real gases; laws of thermodynamics; thermodynamic potentials; concepts of state and path functions; work and heat as path functions and internal energy as state function; phase diagram; thermodynamic description of various types of processes; Maxwell’s relations; spontaneity and equilibria; Temperature and pressure dependence of thermodynamic quantities; Le Chatelier’s principle; Basic concepts and postulates of statistical mechanics; Ensembles: microcanonical; canonical and grand canonical ensembles; applications of ensembles; thermostat; Barostat; calculation of different thermodynamic quantities such as average pressure; average energy. Partition functions and distributions; canonical and grand canonical partition functions; phase space; fluctuations; Boltzmann; Fermi-Dirac and Bose-Einstein distributions. Canonical partition function in terms of molecular partition function of non-interacting particles; Translational; rotational and vibrational partition functions; Temperature dependence of the second virial coefficient. Thermodynamics of solids - Einstein and Debye models. T3 dependence of heat capacity of solids at low temperatures Fermi function; Fermi energy; free electron model and density of states; chemical potential of conduction electrons; Introduction to computer simulation methods in statistical mechanics. ergodicity; random numbers; Monte Carlo methods; Molecular Dynamics; constant temperature MD.
