Department,course_code,course_name,credits,distribution,prerequisites,overlap_with,syllabus
Electrical Engineering,EEL101,Basic Electrical Engineering,4,3-0-2,None,NA,DC and AC Circuits: Voltage and current sources; Dependent Sources; Kirchoff current and voltage laws; Star-Delta; Superposition; Thevenin and Norton Theorems. Telegen; Millman; Compensation; MPT Theorems. Phasor; Complex Impedance and Complex Power. Analysis of single-phase ac circuits in complex domain; Resonance. LTI System. Balanced Three-phase circuits in star and delta connections. 3 phase wattmeter; Energy meter. Transformers: Magnetic materials; BH characteristics; ideal and practical transformer; equivalent circuit; losses in transformers; regulation and efficiency. Auto-transformer and three-phase transformer connections. Electrical Machines: Generation of rotating magnetic fields; Construction and working of a three-phase induction motor; Significance of torque-slip characteristic. Loss components and efficiency; starting and speed control of induction motor. Single Phase Induction Motor. Construction; working; torque-speed characteristic and speed control of separately excited and self-excited dc motor. Stepper motors and encoders. Electrical Installations: Components of LT Switchgear: Switch Fuse Unit (SFU); MCB; ELCB; MCCB; Types of Wires and Cables; Earthing. Types of Batteries; Important Characteristics for Batteries. Elementary calculations for energy consumption; power factor improvement and battery backup. List of Experiments: Basic safety precautions. Introduction and use of measuring instruments – voltmeter; ammeter; multi-meter; oscilloscope. Characteristics of practical resistors; capacitors and inductors; Impedance calculation in RL; RC and RLC Circuit. Voltage and Current Phasor; Signal parameters; Resonance in RLC. Non sinusoidal Signals; Transformers: Observation of the no-load current waveform on an oscilloscope (non-sinusoidal wave-shape due to B-H curve nonlinearity should be shown along with a discussion about harmonics). Loading of a transformer: measurement of primary and secondary voltages and currents; and power; Three-phase transformers: Star and Delta connections. Voltage and Current relationships (line-line voltage; phase-to-neutral voltage; line and phase currents). Phase-shifts between the primary and secondary side. Cumulative three-phase power in balanced three-phase circuits; Demonstration of cut-out sections of machines: dc machine (commutator-brush arrangement); induction machine (squirrel cage rotor); and single-phase induction machine.
Electrical Engineering,EEL201,Circuits and Systems,4,3-1-0,EEL101,EEL205 (5%),Analog Signals: Introduction to Signals – Fourier Series (Trigonometric and Exponential) – Fourier Transform – Reconstruction of Signals – Symmetry; Laplace Transform: Origin of LT – Fundamental Formula – Laplace Transform of Signals – Application on Circuit Analysis – Inverse LT – Initial Condition; Time Response: LTI System – Transfer Function – Pole and Zeroes – First and Second Order System – Time Response Parameters – Steady State – Final Value Theorem; Two Port Network: Definitions – Types (Z; Y; ABCD; Inv. ABCD; g; h) and Parameters – Interconnection – Interconversion; Circuit Synthesis : Nullator and Norator – Foster I and II – Coyer I and II; Filters: Introduction – Types (LP; HP; BP; BR and AP) – Transfer Functions (First and Second Order) – Butterworth Filter – Chebyshev and Inverse Chebyshev Filter – Elliptical Filter (Brief idea) – Passive Realization – Active Realization – Twin T Notch – PSpice Simulations.
Electrical Engineering,EEL202,Analog Circuits,4,3-1-0,EEL101 and ECL101,ECL101 (10%),Introduction to Analog Electronics; MOS and BJT transistors; Diode circuits; MOSFET amplifiers – amplifier design; small signal analysis; current sources/mirrors; BJT circuits; Differential amplifiers; Multi-stage amplifiers; OP-AMPs; OP-AMP circuits; Frequency response of amplifiers; Power amplifiers; Oscillators; Voltage regulators.
Electrical Engineering,EEL203,Digital Circuits,2,2-0-0,ECL101,NA,Introduction to digital systems – logic families; Combinational Circuits – Logic gates; Boolean Algebra; gate-level minimization; Circuit design and implementation; Adders; Comparators; Multiplexers; Decoders/encoders; Applications; Data storage elements – Latches; Flip-Flops; Registers; Memory; Sequential Circuits – State tables and diagrams; State representation in HDLs; Timing in sequential circuits; Shift register; Counters.
Electrical Engineering,EEL204,Engineering Electromagnetics,3,3-0-0,None,PHL101 (10%) and EEL101 (10%),General field properties; Review of vector calculus and coordinate systems; static electric fields; static magnetic fields; Biot-Savart and Ampere’s laws; Boundary value problems and method of images; Magnetic vector potential; Materials: dielectric and magnetic materials; their properties; capacitance and inductance; applications; Transformers and electrical machines; Time-varying fields and Maxwell’s equations in differential; integral and phasor forms. Wave equation; Transmission lines; Smith Charts; Impedance matching; Waveguides and Antennas (12 lectures).
Electrical Engineering,EEL205,Control Systems,4,3-1-0,EEL201,EEL201 (2%),Introduction: Open loop and Closed loop – Feedback and Feed forward – Block Diagram – Noise and Disturbance – Transfer Function – Order; Type; Pole and Zero; Modelling: Physical System Dynamics– Block Diagram Reduction – Mason’s Gain Formula – Analogous System; Time Response: First and Second Order Transient – Steady States – Impulse; Step and Ramp Response – Performance Indices – Effect of Zero – MATLAB simulation; Stability: BIBO stability – Asymptotic Stability – RH Criteria – Root Locus – Root Contour; Frequency Response: Frequency Response – Resonant Peak of Second Order System – Polar Plots – Bode Plots – Nyquist Plots – Principle of Augmentation – Relative Stability – GM; PM; GCF; PCF – Non-minimal Phase System – Transportation Lag; Compensators : Lead – Lag – Lead Lag – Design using Time Response Analysis – Simulation – PID Controller; State Space Control – State Variables – Uniqueness – Transfer Function – Transformation Matrix – Eigen Values – Minimal Representations – Generalized Eigen Vector – State Transition Matrix – Controllability – Observability – State Feedback Control - State Observer – MATLAB Simulation.
Electrical Engineering,EEL206,Electrical Machines-I,3,3-0-0,EEL101,NA,Introduction: principle of Electromechanical Energy Conversion; DC circuits; and single phase and three phase AC circuits; magnetic circuits; Transformers: Introduction; Amp-Turn balance; Ideal and Practical Transformers; Equivalent circuit and reduction of leakage; Open circuit and short circuit tests; Determination of equivalent parameters; voltage regulation and efficiency; per unit notation of transformer; Introduction to Three phase and Auto transformers; DC Machines: Principle of operation and construction features of DC machines; EMF and torque equations; generator operation; type of DC machines; characteristics for DC motor and DC generators; Armature reactions; starting and braking operations; commutations; speed control of DC machines. Single phase Induction Machines: Introduction; principle of operation; Double revolving theory; equivalent circuit; method of starting; split phase induction motor (IM); shaded pole IM; repulsion motor; universal motor and series motor.
Electrical Engineering,EEL207,Power System Analysis,3,3-0-0,EEL101; EEL201,NA,Power Systems Evolution of Power Systems; Energy Sources Structure of Bulk Power Systems Basic three phase system concepts Power System Components: Generators; Loads; Transformers; Transmission Lines etc.; Modeling of Short; Medium; and Long Transmission Lines; Solution of steady state equations for interconnected systems: Balanced and Unbalanced systems. Positive Sequence Network; Per Unit System; Y-bus formation Simple example of a load flow solution; Introduction to generator swing equations and stability issues; Simple Example of Loss of synchronism Interconnected System Operation and Control: Operational Objectives; Frequency Control; Voltage Control and Power Flow Control: Analysis of Faulted Power Systems and Protection: Unbalanced System Analysis using Sequence Components.
Electrical Engineering,EEL208,Sensor and Instrumentation,3,3-0-0,EEL101,EEL603 (25%),Introduction: Sensors and Transducers – Basic Block Diagrams – Sensor Parameters (Range; Accuracy; Precision; Nonlinearity; Sensitivity) – Statistical Components – Errors – Noise and Signals; Thermal Sensors: RTD – Thermistor – Thermocouple – PTC Semiconductor sensors – Resistance Bridges – Linearizing Circuit – Amplifiers – Cold Junction Compensation – Numericals; Motion Sensors: LVDT – Induction Bridges – Level Sensors – Capacitance Bridges – Push-Pull Arrangements – Diaphram – Tachogen – Wein Bridge – Accelerometer – Hall Effect Sensors; Force Sensors: Strain Gauge – Bridge Circuits and Gauge Position – Cantilever and Load Cell – Piezoelectric – Charge Amplifier – Bourdon Gauge; Flow Sensors: Flow Types – Reynold’s Number – Bernoulli Theorem and Continuity Theorem – Pitot Tube – Orifice Plate– Permanent Pressure loss – Venturimeter – Ultrasonic Flowmeter – Optical Flowmeter – Vortex Flowmeter – Turbine Flowmeter; Chemical Sensors: Moisture Sensors – Gas Chromatography – Voltametry (CV and DPV) – Dopanin Sensor – pH Sensor; Signal Conditioning Circuit : Filters and Instrumentation Amplifiers – CMRR – GBP – ADC– Resolution of a meter – LoD; Data Analysis – Regression Model – Calibration and Standards – Inverse Function – Python Programming – LCD Display – Online Data Transmission.
Electrical Engineering,EEP209,Devices and Circuits Lab,1.5,0-0-3,ECL101; EEL101; and EEL202,NA,MOSFET - Determination of equivalent Model by AC small signal analysis; Op Amp - Open and closed loop characterization; Bode plots; Realization of Inverting and non-inverting amplifiers; Mathematical operation with Op amps - summing; differentiating; log and antilog amplifiers; integrator and differentiator; RC and RLC circuits - C-V characterization; time and frequency response; resonance; Twin-T network - Determine of two port parameters (Z; Y; ABCD and hybrid parameters) study on filtering action of Twin T; Signal generators and Multivibrators-Sine; Square and Triangular wave generator; Design of Active filters: Sallen-key and State variable filters; Gyrator circuits: Op amp-based inductor realization and negative resistors; Evaluation.
