Department,course_code,course_name,credits,distribution,prerequisites,overlap_with,syllabus
Mechatronics Engineering,MTL201,Fluid Power Systems,4,3-0-2,None,NA,Introduction: Types of power systems – Physical properties of fluids – Types of fluids and fluid power systems – Application of fluid power systems; Hydraulic systems: Pumps – Actuators – valves – circuits design and analysis – Ancillary hydraulic devices; Pneumatic systems: Compressors – Air preparation units – circuit design; Advanced systems: Servo-hydraulics – Electro-pneumatics – Digital systems; Lab-practise: computer simulation of hydraulic and pneumatic circuits – design development and deployment of pneumatic systems.
Mechatronics Engineering,MTL202,Industry 4.0,3,3-0-0,None,DSL250 (10%),Introduction: Sensing & actuation; Communication; Networking; Industry 4.0: Globalisation and Emerging Issues; The Fourth Revolution; LEAN Production Systems; Smart and Connected Business Perspective; Smart Factories; Basic principles and technologies of a Smart Factory: Internet of Things (IoT) & Industrial Internet of Things (IIoT); Big Data; Cyber-Physical Systems; Value chains in manufacturing companies; Customization of products; Digital Twins; Cloud Computing / Cloud Manufacturing; Industrial IoT: Big Data Analytics and Software Defined Networks; Machine Learning and Data Science; Data Management with Hadoop; Security in IIoT; Fog Computing; Industrial IoTApplication Domains: Factories and Assembly Line; Food Industry; Healthcare; Power Plants; Inventory Management & Quality Control; Plant Safety and Security (Including AR and VR safety applications); Facility Management; Oil; chemical and pharmaceutical industry; Applications of UAVs in Industries.
Mechatronics Engineering,MTL301,Fundamentals of Robotics,3,3-0-0,MEL334,EEL208 (10%) and EEL205 (10%),Introduction; transformations; DH Parameters; Forward and Inverse Kinematics; redundancy resolution; Velocity kinematics and Jacobian; Singular value decomposition; singularity; and manipulation ability; Trajectory planning; dynamics; Multi finger grasping – form; force closures; grasp matrix; Locomotion – active and passive walkers; concepts of balance; Biped Gait and Balance using ZMP; kinematics and dynamic modelling of walk. Design and Optimization of legged mechanisms; Sensors and actuators as used in robotics; Basics of linear control – PD; PID controller; model-based control; stability.
Mechatronics Engineering,MTP301,Mechanism Lab,1.5,0-0-3,None,NA,Rigid link mechanism: Analysis; synthesis and fabrication; Path planning for mechanism labs; Fabrication of robotic linkage; Evaluation material properties: Hardness; tensile strength; coefficient of friction etc; Actuation of mechanisms; Measurement of torque and forces in mechanism.
Mechatronics Engineering,MTP302,Mechatronics Lab,1.5,0-0-3,None,EEP307 (25%),Rigid link mechanism: Analysis; synthesis and fabrication; Path planning for mechanism labs; Fabrication of robotic linkage; Evaluation material properties: Hardness; tensile strength; coefficient of friction etc; Actuation of mechanisms; Measurement of torque and forces in mechanism.
Mechatronics Engineering,MTQ401,Minor Project,1.5,0-0-3,None,NA,Research and system development oriented projects based on problems of practical interest. Students are generally expected to work towards the goals set by the project supervisor. Evaluation would be done based on regular presentations; written reports; and demo of the system developed.
Mechatronics Engineering,MTL501,Fundamentals of Mechatronics,3,2-0-2,None,MEL333 (25%); EEL208 (25%); and MEL231 (25%),Basics of measurement and Instrumentation: Characteristics; calibration and Error Analysis; Electrical Measurements: (i) bridge circuits for measurements; (ii) wattmeter and energy meter (iii) dynamometers; potentiometers and instrument transformers; An introduction to sensors: (i) temperature sensors (ii) force and pressure sensors (iii) motion sensors and LVDT; (iv) flow sensors (v) Hall effect sensors. Signal conditioning circuit; design (bridge and filter circuits; instrument amplifier) and microcontroller based signal processing and display (using Arduino board); Forces and Moments transmitted by Slender Members: Axial force distribution - Shear force distribution - Bending moment distribution; Stress and Strain: Stress - Plane stress - Strain -Plane strain - Mohr's circle; Stress-Strain Relations: Tensile test - Elastic Stress-Strain relation - Stress concentration - Stress due to torsion Stress due to bending; Column buckling; Basics of Mechanisms: Kinematic pairs; diagrams; and inversion; Analysis of Mechanisms: Displacement; velocity; and acceleration - Analysis of planar linkages - Dynamic force analysis; Inertia forces; Basics of Dynamic components: Gears and gear trains - Cam - Flywheel -Gyroscope; Lab module: Material property testing [2]; Manufacturing methods [3]; Development of mechanisms.
Mechatronics Engineering,MTL602,Design and Analysis of Robotic System,3,3-0-0,None,MTL301 (25 %),Introduction to robotics- History; growth; Robot applications- Manufacturing industry; defense; rehabilitation; medical etc.; Laws of Robotics; Robot mechanisms; Kinematics- coordinate transformations; DH parameters; Forward kinematics; Inverse Kinematics; Jacobians; Statics; Trajectory Planning; Actuators: electrical; pneumatic; etc.; Sensors; sensor integration; Control – PWM; joint motion control; feedback control; Computed torque control; Perception; Localisation and mapping; Simultaneous Localization and Mapping; Probabilistic robotics; Path planning; Breadth-first &amp; Depth-first search; Dijkstra; A-star; D-star; Voronoi; Potential Field; Hybrid approaches; Introduction to Reinforcement Learning.
Mechatronics Engineering,MTL603,Digital Manufacturing,3,3-0-0,None,NA,Introduction to manufacturing techniques: casting; welding; forming; machining etc; Introduction to CAD/CAM: Computer graphics; CNC; CNC coding etc; Introduction to DM- History; development; applications; components; Theory System of Digital manufacturing Science: Operation reference mode and architecture of the digital manufacturing system; modelling theory and method of the digital manufacturing; the macro integrity theory of the digital manufacturing system and the meta theory constructing digital manufacturing; Manufacturing Informatics in Digital Manufacturing Science: The principle and properties of manufacturing information; the measurement and materialization of manufacturing information; self-assembling and the synthesis of manufacturing information and information security. Digital twin for smart manufacturing: Background; concept etc; Cyber-Physical Fusion in Digital twin Shop-Floor: Discussion on fusion of physical elements in physical shop-floor (PS); model fusion in virtual shop-floor (VS); data fusion in shop-floor digital twin data (SDTD); and fusion of services in shopfloor service systems (SSS). Digital Twin-Driven Prognostics and Health Management: How DT is use to emulate physical equipment thoroughly with high fidelity and how it can help digital continuous monitoring; Digital Twin and Virtual Reality and Augmented Reality/Mixed Reality: How to integrate VR; AR and MR with the DT will be discussed to provide more immersive and interactive services to users.
Mechatronics Engineering,MTL655,Automation in Production Systems,3,3-0-0,None,MEL655 (100%),Introduction to manufacturing; Manufacturing system concept. Production concept; Production/Product relationship and mathematical models; Principles of automation and strategies; Basic elements of an automated system; Advanced automation functions and levels of automation; Introduction to NC; CNC technology; DNC; Control systems in CNC system; CNC programming techniques: Word address format and Computer-assisted part programming; Introduction to Robotics; Group Technology and cellular manufacturing; Opitz System and GT benefits; Flexible manufacturing systems (FMS); Process planning and computer-assisted process planning; Automated materials handling and storage systems. 
